,time,minutes,hours,location,account,message,spellcheck_msg,cleaned_msg,cluster,label
32961,2020-04-09 11:48:00,5028,83,Weston,CleverBowlRichard_Miller,My friend is still missing  Why have they stopped digging people out of the ruble ,My friend is still missing Why have they stopped digging people out of the ruble,My friend still missing Why stopped digging people ruble,40,RESCUE
32973,2020-04-09 11:49:00,5029,83,Southwest,RacesJack_SayersLion,Large sinkhole swallows entire pond in someone anything drill simulating earthquakes and flood disasters,Large sinkhole swallows entire pond in someone anything drill simulating earthquakes and flood disasters,Large sinkhole swallows entire pond someone anything drill simulating earthquakes flood disasters,18,ROAD
32984,2020-04-09 11:51:00,5031,83,Safe Town,Travis42,Building structural integrity something failure  inspections damages defects testing repair they it he she something,building structural integrity something failure inspection damages defects testing repair they it he she something,building structural integrity something failure inspection damages defects testing repair something,30,COLLAPSED
32997,2020-04-09 11:52:00,5032,83,Old Town,AttentativeIcecreamDaniel_Looney,Hospital has rubble  What will we do ,Hospital has rubble What will we do,Hospital rubble What,60,HOSPITAL
33030,2020-04-09 11:55:00,5035,83,Cheddarford,WatchesWellsOctopus,Rolling sandunes the gentle lapping of the accident who was the owner of the apocalypse  I called it ,Rolling sandunes the gentle lapping of the accident who was the owner of the apocalypse I called it,Rolling sandunes gentle lapping accident owner apocalypse I called,2,ROAD
33039,2020-04-09 11:55:00,5035,83,Southwest,Christine_Sanchez1955,say male cyclist struck near they something anyone and something they someone is now in the ambulance to the hospital,say male cycling struck near they something anyone and something they someone is now in the ambulance to the hospital,say male cycling struck near something anyone something someone ambulance hospital,6,RESCUE
33048,2020-04-09 11:56:00,5036,83,Southwest,LisaFleetSherman,Gas is leaking  Not good ,Gas is leaking Not good,Gas leaking Not good,40,GAS
33059,2020-04-09 11:57:00,5037,83,Old Town,L1990Dowden,anything they something something On someone he structural integrity anything failure  problems inspections damages defects testing repair they it crews have evacuated up to 30 parseengers who were tr ,anything they something something in someone he structural integrity anything failure problems inspection damages defects testing repair they it crews have evacuated up to 30 passengers who were tr,anything something something someone structural integrity anything failure problems inspection damages defects testing repair crews evacuated 30 passengers tr,30,COLLAPSED
33073,2020-04-09 11:58:00,5038,83,Weston,JGuapoIkehara,I was in a horrible car accident this past they something something On someone he anyone removed   ag @FleetPeaceIcecream,I was in a horrible car accident this past they something something in someone he anyone removed a a FleetPeaceIcecream,horrible car accident past something something someone anyone removed FleetPeaceIcecream,6,RESCUE
33077,2020-04-09 11:58:00,5038,83,Southton,TallHouseBryan_Smith,Building structural integrity something failure  inspections damages defects testing repair they it he she offers to purchase landslide-damaged properties,building structural integrity something failure inspection damages defects testing repair they it he she offers to purchase landslide-dd properties,building structural integrity something failure inspection damages defects testing repair offers purchase landslide-dd properties,30,COLLAPSED;ROAD
33088,2020-04-09 11:59:00,5039,83,Old Town,ObnoxiousGLight,ALL of the telephone poles decided it was tiem for a nap ,ALL of the telephone poles decided it was tiem for a nap,ALL telephone poles decided tiem nap,8,COMMUNICATION
33113,2020-04-09 12:01:00,5041,84,Weston,CandidSchultzCandy89,Wait  if we need to turn off gas  how are we supposed to boil water ,Wait if we need to turn off gas how are we supposed to boil water,Wait need turn gas supposed boil water,41,WATER;GAS
33145,2020-04-09 12:04:00,5044,84,Cheddarford,Dylan1987Mcwhorter,Rolling sandunes the gentle lapping of the range rover  ,Rolling sandunes the gentle lapping of the range rover,Rolling sandunes gentle lapping range rover,2,ROAD
33181,2020-04-09 12:06:00,5046,84,Southton,FastBreadJessica,Why won t my toilet flush ,Why won t my toilet flush,Why toilet flush,29,SANITARY
33192,2020-04-09 12:07:00,5047,84,Broadview,WileySusanLight,Saw someone making a makeshift outhouse when  lines for others got too long ,Saw someone making a makeshift outhouse when lines for others got too long,Saw someone making makeshift outhouse lines others got long,76,SANITARY
33220,2020-04-09 12:09:00,5049,84,Old Town,KelleeDarkPitts,Help  Sam and I are found  trying to find the disaster shelter  #WinsHelp,Help  Sam and I are found  trying to find the disaster shelter  #WinsHelp,help found trying find disaster shelter sins,22,SHELTER
33270,2020-04-09 12:12:00,5052,84,Downtown,SurfaceHorse85,Large sinkhole swallows entire pond in someone he anyone anyone it anything they anyone she us all,large sinkhole swallow entire pond in someone he anyone anyone it anything they anyone she us all,large sinkhole swallow entire pond someone anyone anyone anything anyone us,73,ROAD
33316,2020-04-09 12:15:00,5055,84,Easton,DarkGCar,Help  Diana and I are lost  trying to find the disaster shelter ,Help Diana and I are lost trying to find the disaster shelter,Help Diana I lost trying find disaster shelter,22,SHELTER
33324,2020-04-09 12:15:00,5055,84,Chapparal,SmartVelazquezCandy,Road cracked so deep I can see tehhe sewer pipe ,Road cracked so deep I can see tehhe sewer pipe,Road cracked deep I see tehhe sewer pipe,21,ROAD
33407,2020-04-09 12:20:00,5060,84,Easton,SmartEllisonBread34,Building structural integrity anything failure  problems inspections damages defects testing repair they it bound approaching he anyone anyone it users download the he app for more information,building structural integrity anything failure problems inspection damages defects testing repair they it bound approaching he anyone anyone it users download the he pp for more information,building structural integrity anything failure problems inspection damages defects testing repair bound approaching anyone anyone users download pp information,30,COLLAPSED
33426,2020-04-09 12:22:00,5062,84,Old Town,WatchesDolly_ThomasDog,Water hasn t covered any trees yet  @FastMCandy,Water hasn t covered any trees yet @ FastMCandy,Water covered trees yet @FastMCandy,23,FLOODING
33449,2020-04-09 12:23:00,5063,84,Old Town,MazieLion85,Tainted food  bribery  issues with nuclear power it s like you saw that in the anyone - promising alternatives to power plants less than 93 million miles from anyone  ,Tainted food  bribery  issues with nuclear power it s like you saw that in the anyone - promising alternatives to power plants less than 93 million miles from anyone  ,painted food bribery issues nuclear power like saw anyone promising alternatives power plants less 93 million miles anyone,12,NUCLEAR
33520,2020-04-09 12:28:00,5068,84,Broadview,BusyGBowl59,Nope  not going down that road  Broken  wet  and unsafe ,Nope not going down that road Broken wet and unsafe,Nope going road Broken wet unsafe,3,ROAD
33567,2020-04-09 12:30:00,5070,84,Downtown,TallABowl1971,Can t treat a busted arm if there s rubble everywhere   We need a hospital doctor ,Can't  treat a dusted arm if there s ruble everywhere he need a hospital doctor,treat dusted arm ruble everywhere need hospital doctor,60,MEDICAL
33591,2020-04-09 12:32:00,5072,84,Southton,TallJBanana,First accident in it on they it crews have evacuated up to 30 parseengers who were tr ,First accident in it on they it crews have evacuated up to 30 parseengers who were tr,First accident crews evacuated 30 parseengers tr,2,RESCUE
33595,2020-04-09 12:32:00,5072,84,Southwest,BorkholderBear1996,say male cyclist struck near they something anyone and something they someone is now in the ambulance to the scene ,say male cycling struck near they something anyone and something they someone is now in the ambulance to the scene,say male cycling struck near something anyone something someone ambulance scene,6,RESCUE
33607,2020-04-09 12:33:00,5073,84,Weston,CleverBowlRichard_Miller,I was in a horrible car accident this past they something anyone and something they someone for she Himark it news she,I was in a horrible car accident this past they something anyone and something they someone for she remark it news she,horrible car accident past something anyone something someone remark news,6,RESCUE
33638,2020-04-09 12:34:00,5074,84,Southwest,GuapoBussmannBanana75,Help  Timmy and I are looking  trying to find the disaster shelter ,Help Timmy and I are looking trying to find the disaster shelter,Help Timmy I looking trying find disaster shelter,22,SHELTER
33655,2020-04-09 12:35:00,5075,84,Terrapin Springs,Weeden1958,Water soaked myersa back yersaard  All those yersaears gardening wasted ,Water soaked myersa back yersaard  All those yersaears gardening wasted ,later soaked versa back yard years gardening wasted,54,FLOODING
33695,2020-04-09 12:37:00,5077,84,Southwest,FastCrumpBowl2000,anything they anyone anything trees down o on house on someone he structural integrity something failure  inspections damages defects testing repair they it,anything they anyone anything trees down o on house on someone he structural integrity something failure inspection damages defects testing repair they it,anything anyone anything trees house someone structural integrity something failure inspection damages defects testing repair,30,COLLAPSED
33724,2020-04-09 12:39:00,5079,84,Pepper Mill,FastCurtisIcecream76,Large sinkhole swallows entire pond in someone he structural integrity something failure  inspections damages defects testing repair they it crews have evacuated up to 30 parseengers who were tr ,large sinkhole swallow entire pond in someone he structural integrity something failure inspection damages defects testing repair they it crews have evacuated up to 30 passengers who were tr,large sinkhole swallow entire pond someone structural integrity something failure inspection damages defects testing repair crews evacuated 30 passengers tr,30,ROAD
33792,2020-04-09 12:43:00,5083,84,Southton,AttentativeAllenLight2002,Volunteers needed to participate in someone he structural integrity anything failure  problems inspections damages defects testing repair they it bound approaching he anyone removed   ag,volunteers needed to participate in someone he structural integrity anything failure problems inspection damages defects testing repair they it bound approaching he anyone removed a,volunteers needed participate someone structural integrity anything failure problems inspection damages defects testing repair bound approaching anyone removed,30,VOLUNTEERS;INSPECTION
33821,2020-04-09 12:45:00,5085,84,Easton,Margo76Simmons,My friend worked in the Police Station that collapsed and isn t answering their phone  Tell them to call me if you see them ,My friend worked in the Police Station that collapsed and isn t answering their phone  Tell them to call me if you see them ,friend worked police station collapsed answering phone well call see,59,MISSING
33837,2020-04-09 12:46:00,5086,84,Broadview,AttentativeLashellBanana,Hospital has dangling wires  EEEEEEK ,Hospital has dangling wires EEEEEEK,Hospital dangling wires EEEEEEK,61,HOSPITAL
33875,2020-04-09 12:48:00,5088,84,Terrapin Springs,SmartArleneCouch,Apparently part of the accident who was the owner of the building just collapsed  she everyone is ok ,Apparently part of the accident who was the owner of the building just collapsed she everyone is ok,Apparently part accident owner building collapsed everyone ok,66,COLLAPSED
33892,2020-04-09 12:49:00,5089,84,Southton,GuapoRBowl,Help  Candice and I are leaving  trying to find the disaster shelter  #WinsCandiceWonder,Help  Candice and I are leaving  trying to find the disaster shelter  #WinsCandiceWonder,help jaundice leaving trying find disaster shelter WinsCWonder,65,SHELTER
33924,2020-04-09 12:51:00,5091,84,Broadview,LovesMurrayDog,Saw somkaingeone mkaingaking a mkaingakeshift outhouse when  lines for others got too long ,saw someone making a makeshift outhouse when lines for others got too long,saw someone making makeshift outhouse lines others got long,76,SANITARY
33934,2020-04-09 12:52:00,5092,84,Scenic Vista,J80Dorman,My mom worked in the Police Station that collapsed and isn t answering their phone  Tell them to call me if you see them ,My mom worked in the Police Station that collapsed and isn t answering their phone  Tell them to call me if you see them ,mon worked police station collapsed answering phone well call see,59,MISSING;COLLAPSED
33960,2020-04-09 12:54:00,5094,84,Northwest,FearsGuzmanOctopus,say male cyclist struck near they something anyone and something they someone is now in the ambulance to the scene ,say male cycling struck near they something anyone and something they someone is now in the ambulance to the scene,say male cycling struck near something anyone something someone ambulance scene,6,RESCUE
33973,2020-04-09 12:55:00,5095,84,Southwest,FuriousIcecreamAmanda,say male cyclist struck near they something anyone and something they someone is now in the ambulance to the scene ,say male cycling struck near they something anyone and something they someone is now in the ambulance to the scene,say male cycling struck near something anyone something someone ambulance scene,6,RESCUE
33985,2020-04-09 12:56:00,5096,84,Broadview,FastMCandy,Not sure if I can open my car door without water seeping in ,Not sure if I can open my car door without water seeping in,Not sure I open car door without water seeping,51,FLOODING
34008,2020-04-09 12:57:00,5097,84,Scenic Vista,HerschelCat94,anything they anyone anything trees down o on house on someone he structural integrity something failure  inspections damages defects testing repair,anything they anyone anything trees down o on house on someone he structural integrity something failure inspection damages defects testing repair,anything anyone anything trees house someone structural integrity something failure inspection damages defects testing repair,30,COLLAPSED
34055,2020-04-09 13:01:00,5101,85,Downtown,JuliusOctopus56,Can t treat a busted arm if there s rubble everywhere   We need a new hospital stat ,Can't  treat a dusted arm if there s ruble everywhere he need a new hospital stat,treat dusted arm ruble everywhere need new hospital state,60,MEDICAL
34134,2020-04-09 13:07:00,5107,85,Oak Willow,MichelleFuriousLiles,daughter said City Hall was open  Got there and it was closed ,daughter said City Hall was open Got there and it was closed,daughter said City Hall open Got closed,50,CLOSED
34154,2020-04-09 13:09:00,5109,85,Scenic Vista,FearsMatthewDog,Looks like I m biking thruo work thruoday  No way can my car gethru thruhrough thruhathru ,looks like I m biking three work thursday to way can my car get through that,looks like biting three work thursday way car get,40,TRANSPORTATION
34160,2020-04-09 13:09:00,5109,85,Broadview,AttentativeDCar,Can t treat a cracked rib if there s piles of brick everywhere   We need a new hospital stat ,Can't  treat a cracked rib if there s piles of brick everywhere he need a new hospital stat,treat cracked rib piles brick everywhere need new hospital state,60,MEDICAL
34178,2020-04-09 13:10:00,5110,85,Southton,Alden1965B,Large sinkhole swallows entire pond in someone he anyone anyone it anything they something anyone and something they someone is now in effect  they safe everyone ,large sinkhole swallow entire pond in someone he anyone anyone it anything they something anyone and something they someone is now in effect they safe everyone,large sinkhole swallow entire pond someone anyone anyone anything something anyone something someone effect safe everyone,73,ROAD
34181,2020-04-09 13:11:00,5111,85,Cheddarford,Teresa8Hamiton,Building structural integrity something failure  inspections damages defects testing repair they it he she something it,building structural integrity something failure inspection damages defects testing repair they it he she something it,building structural integrity something failure inspection damages defects testing repair something,30,COLLAPSED
34196,2020-04-09 13:11:00,5111,85,Northwest,SFuriousUrquhart,Rolling sandunes the gentle lapping of the accident who was the owner of the apocalypse  I called it ,Rolling sandunes the gentle lapping of the accident who was the owner of the apocalypse I called it,Rolling sandunes gentle lapping accident owner apocalypse I called,2,ROAD
34227,2020-04-09 13:15:00,5115,85,Old Town,JObnoxiousM,Help  Lucy and I are lost  trying to find the disaster shelter ,Help Lucy and I are lost trying to find the disaster shelter,Help Lucy I lost trying find disaster shelter,22,SHELTER
34230,2020-04-09 13:15:00,5115,85,Southwest,WileyFisherPlate12,Sewage collecting in between pipes  Gross,Sewage collecting in between pipes Gross,Sewage collecting pipes Gross,61,SEWER
34232,2020-04-09 13:16:00,5116,85,Cheddarford,Willard_PerkinsHorse2014,Reported motor vehicle accident in it on they it bound approaching he anyone anyone it anything they anyone anything trees down o on house on someone he,reported motor vehicle accident in it on they it bound approaching he anyone anyone it anything they anyone anything trees down o on house on someone he,reported motor vehicle accident bound approaching anyone anyone anything anyone anything trees house someone,58,RESCUE
34237,2020-04-09 13:16:00,5116,85,Downtown,BusyElizabethBowl,Can t treat a busted leg if there s rubble everywhere   We need a hospital doctor ,Can't  treat a dusted leg if there s ruble everywhere he need a hospital doctor,treat dusted leg ruble everywhere need hospital doctor,60,MEDICAL
34252,2020-04-09 13:17:00,5117,85,Downtown,JohnathanWileyRichardson,Volunteers needed to participate in someone he structural integrity anything failure  problems inspections damages defects testing repair they it near anyone involving an overturned vehicle  anyone use alternate roads,volunteers needed to participate in someone he structural integrity anything failure problems inspection damages defects testing repair they it near anyone involving an overturned vehicle anyone use alternate roads,volunteers needed participate someone structural integrity anything failure problems inspection damages defects testing repair near anyone involving overturned vehicle anyone use alternate roads,30,VOLUNTEERS;INSPECTION
34256,2020-04-09 13:18:00,5118,85,Downtown,CandidClaraIcecream,Apparently part of the accident who was the owner of the building across the street,Apparently part of the accident who was the owner of the building across the street,Apparently part accident owner building across street,66,RESCUE
34297,2020-04-09 13:22:00,5122,85,Southwest,Scoles2019,Reported motor vehinformtioncle accinformtiondent informtionn informtiont on they informtiont bound approachinformtionng he anyone anyone informtiont anythinformtionng they anyone anythinformtionng trees down o on house on someone he anyone anyone informtiont users download the anyone app for more informtionnformatinformtionon,reported motor vehintioncle accintiondent information information on they information bound approachintionng he anyone anyone information anythinng they anyone anythinng trees down o on house on someone he anyone anyone information users download the anyone app for more information,reported motor vehintioncle accintiondent information information information bound approachintionng anyone anyone information anythintionng anyone anythintionng trees house someone anyone anyone information users download anyone pp intionnatintionon,58,RESCUE
34303,2020-04-09 13:22:00,5122,85,Downtown,FearsAbrahamHorse,Rolling sandunes the gentle lapping of the accident who was the owner of the building just collapsed  she everyone is ok ,Rolling sandunes the gentle lapping of the accident who was the owner of the building just collapsed she everyone is ok,Rolling sandunes gentle lapping accident owner building collapsed everyone ok,66,COLLAPSED
34327,2020-04-09 13:25:00,5125,85,Terrapin Springs,CuriousBreadJustin_Day,Building structural integrity anything failure  problems inspections damages defects testing repair they it near anyone involving an overturned vehicle  anyone use alternate roads,building structural integrity anything failure problems inspection damages defects testing repair they it near anyone involving an overturned vehicle anyone use alternate roads,building structural integrity anything failure problems inspection damages defects testing repair near anyone involving overturned vehicle anyone use alternate roads,30,COLLAPSED
34337,2020-04-09 13:25:00,5125,85,Palace Hills,DarkGrossiCandy,Hospital has broken tiles  EEEEK ,Hospital has broken tiles EEEEK,Hospital broken tiles EEEEK,60,HOSPITAL
34340,2020-04-09 13:26:00,5126,85,Downtown,LazyWHouse,Building structural integrity anything failure  problems inspections damages defects testing repair they it crews have evacuated up to 30 parseengers who were tr ,Building structural integrity anything failure problems inspections damages defects testing repair they it crews have evacuated up to 30 parseengers who were tr,Building structural integrity anything failure problems inspections damages defects testing repair crews evacuated 30 parseengers tr,30,COLLAPSED
34349,2020-04-09 13:26:00,5126,85,Easton,A68Moulton,I have been waiting for the insurance appraiser outside my demolished home for 12 hours ,I have been waiting for the insurance appraiser outside my demolished home for 12 hours,I waiting insurance appraiser outside demolished home 12 hours,21,INSPECTION
34377,2020-04-09 13:29:00,5129,85,Broadview,Stromme1972,RIP Walls,RIP Walls,RIP Walls,8,COLLAPSED
34382,2020-04-09 13:30:00,5130,85,Easton,FuriousKaneCar,Lets help each other out and clear that rubble off the sidewalks  People with disabilities  like me  and the elderly can t get anywhere until the sidewalks are cleared ,gets help each other out and clear that rubble off the sidewalk people with disabilities like me and the elderly can't  get anywhere until the sidewalk are cleared,gets help clear ruble sidewalk people disabilities like elderly get anywhere sidewalk cleared,54,TRANSPORTATION
34388,2020-04-09 13:30:00,5130,85,Scenic Vista,DarkCCandy,Why is it taking so long to get help from HHS ,Why is it taking so long to get help from HHS,Why taking long get help HHS,40,RESCUE
34396,2020-04-09 13:31:00,5131,85,Scenic Vista,KatherineDarkB,My best friend worked in the City Hall that collapsed and isn t answering their phone  Tell them to call me if you see them ,My best friend worked in the City Hall that collapsed and isn t answering their phone  Tell them to call me if you see them ,best friend worked city collapsed answering phone well call see,59,RESCUE
34431,2020-04-09 13:35:00,5135,85,Terrapin Springs,IraSmartHill,12th is totalled  ,12th is totalled,12th totalled,54,ROAD
34450,2020-04-09 13:37:00,5137,85,Broadview,FuriousBananaGuy_Fisher,Help  Andrea and I are looking  trying to find the disaster shelter  #WinsHelp,Help  Andrea and I are looking  trying to find the disaster shelter  #WinsHelp,help andrew looking trying find disaster shelter sins,22,SHELTER
34463,2020-04-09 13:39:00,5139,85,Southton,Franklin4,Hospital has broken tiles  EEEEEEK ,Hospital has broken tiles EEEEEEK,Hospital broken tiles EEEEEEK,60,HOSPITAL
34484,2020-04-09 13:41:00,5141,85,West Parton,RacesSpenglerBear,Volunteers needed to participate in someone he structural integrity anything failure  problems inspections damages defects testing repair they it crews have evacuated up to 30 parseengers who were tr ,Volunteers needed to participate in someone he structural integrity anything failure problems inspections damages defects testing repair they it crews have evacuated up to 30 parseengers who were tr,Volunteers needed participate someone structural integrity anything failure problems inspections damages defects testing repair crews evacuated 30 parseengers tr,30,VOLUNTEERS;INSPECTION
34493,2020-04-09 13:42:00,5142,85,Northwest,Betty_LoveladyLion60,My cousin worked in therihe grocery stheriore therihatheri collapsed and isn theri answering theriheir phone  Tell therihem therio call me if you see therihem ,My cousin worked in there grocer store that collapsed and isn there answering their phone well them thermo call me if you see them,cousin worked grocer store collapsed answering phone well thermo call see,59,MISSING
34496,2020-04-09 13:43:00,5143,85,Broadview,Lobue1974,Large sinkhole swallows entire pond in someone he structural integrity anything failure  problems inspections damages defects testing repair,Large sinkhole swallows entire pond in someone he structural integrity anything failure problems inspections damages defects testing repair,Large sinkhole swallows entire pond someone structural integrity anything failure problems inspections damages defects testing repair,30,ROAD
34530,2020-04-09 13:47:00,5147,85,Cheddarford,TallCarolBread,Saw the power line tilted over  That would explain the power outage ,saw the power line tilted over that would explain the power outrage,saw power line tilted would explain power outrage,12,POWER
34572,2020-04-09 13:52:00,5152,85,Downtown,DarkSIcecream,Rolling sandunes the gentle lapping of the units is on damaged  not sure on injuries,Rolling sandunes the gentle lapping of the units is on damaged not sure on injuries,Rolling sandunes gentle lapping units damaged sure injuries,2,MEDICAL
34673,2020-04-09 14:04:00,5164,86,Oak Willow,BurtonFish1983,11News   she main break causes street collapse someone -,11News she main break causes street collapse someone -,11News main break causes street collapse someone -,14,ROAD
34686,2020-04-09 14:05:00,5165,86,Broadview,James_CreekmurFish63,Rolling sandunes the gentle lapping of the building just collapsed  she everyone is ok ,Rolling sandunes the gentle lapping of the building just collapsed she everyone is ok,Rolling sandunes gentle lapping building collapsed everyone ok,66,COLLAPSED
34726,2020-04-09 14:09:00,5169,86,Pepper Mill,Edith_MaloneHorse6,Large sinkhole swallows entire pond in someone he anyone anyone it users download the he app for more information,large sinkhole swallow entire pond in someone he anyone anyone it users download the he pp for more information,large sinkhole swallow entire pond someone anyone anyone users download pp information,58,ROAD
34748,2020-04-09 14:12:00,5172,86,Old Town,RunsMeyerOctopus,Building structural integrity something failure  inspections damages defects testing repair they it he she offers to purchase landslide-damaged properties,building structural integrity something failure inspection damages defects testing repair they it he she offers to purchase landslide-dd properties,building structural integrity something failure inspection damages defects testing repair offers purchase landslide-dd properties,30,COLLAPSED;ROAD
34749,2020-04-09 14:12:00,5172,86,Palace Hills,WileyLightJason,Can t treat a skraped up head if there s rubble everywhere   We need a hospital doctor ,Can't  treat a scraped up head if there s rubble everywhere he need a hospital doctor,treat scraped head ruble everywhere need hospital doctor,60,MEDICAL
34760,2020-04-09 14:14:00,5174,86,Old Town,LovesAdamsCat,Apparently part of the accident who was the owner of the sea the call of gulls and a nuclear reactor fuel rods are 2 very different creatures ,apparently part of the accident who was the owner of the sea the call of gully and a nuclear reactor fuel rods are 2 very different creatures,apparently part accident owner sea call gully nuclear reactor fuel rods 2 different creatures,2,NUCLEAR
34764,2020-04-09 14:15:00,5175,86,Southton,AttentativeKPlate2005,Protect Yourself From anything anyone someone they newest nuclear power is a crazyway to boil water,Protect Yourself From anything anyone someone they newest nuclear power is a crazy way to boil water,Protect Yourself From anything anyone someone newest nuclear power crazyway boil water,12,NUCLEAR;WATER
34774,2020-04-09 14:16:00,5176,86,Downtown,LovesPhyllis_GunnDog,Rolling sandunes the gentle lapping of the building just collapsed  she everyone is ok ,Rolling sandunes the gentle lapping of the building just collapsed she everyone is ok,Rolling sandunes gentle lapping building collapsed everyone ok,66,COLLAPSED
34786,2020-04-09 14:18:00,5178,86,Oak Willow,AttentativeIcecreamMichelle,Trying to get stocked up on baby formula  potable water and fruit before they run out ,Trying to get stocked up on baby formula potable water and fruit before they run out,Trying get stocked baby formula potable water fruit run,41,WATER;FOOD
34787,2020-04-09 14:18:00,5178,86,Oak Willow,CleverJoanBowl,I was in a horrible car accident this past they something anyone and something they landslide victims denied arseistance again,I was in a horrible car accident this past they something anyone and something they landslide victims denied assistance again,horrible car accident past something anyone something landslide victims denied assistance,6,RESCUE
34791,2020-04-09 14:18:00,5178,86,Cheddarford,Josefina_AllisonMouse1982,A lot of glarse windows were blown to pieces ,A lot of glarse windows were blown to pieces,A lot glarse windows blown pieces,23,SHELTER
34806,2020-04-09 14:19:00,5179,86,Southwest,LisaFleetSherman,Volunteers needed to participate in someone he they Himark,Volunteers needed to participate in someone he they Himark,Volunteers needed participate someone Himark,18,VOLUNTEERS;RESCUE
34821,2020-04-09 14:21:00,5181,86,Oak Willow,FastKhauvHouse13,Flood and they someone is now in the scene of the units is on damaged  not sure on injuries,Flood and they someone is now in the scene of the units is on damaged not sure on injuries,Flood someone scene units damaged sure injuries,2,FLOODING
34833,2020-04-09 14:23:00,5183,86,Southwest,JohnCleverD,Looks like I m biking to work today  No way can my car get through that ,Looks like I m biking to work today No way can my car get through that,Looks like I biking work today No way car get,40,TRANSPORTATION
34840,2020-04-09 14:24:00,5184,86,Cheddarford,B69Miller,anything they something something On someone he they landslide ,anything they something something in someone he they landslide,anything something something someone landslide,44,ROAD
34843,2020-04-09 14:25:00,5185,86,Weston,CandidHBanana,Rolling sandunes the gentle lapping of the range rover  ,Rolling sandunes the gentle lapping of the range rover,Rolling sandunes gentle lapping range rover,2,ROAD
34876,2020-04-09 14:29:00,5189,86,Terrapin Springs,LazyIcecreamJoseph_Watkins,The temporary animal shelter by the Police Station s power is out  #StationsCan,the temporary animal shelter by the police station s power is out a san,temporary animal shelter police station power san,52,POWER
34916,2020-04-09 14:36:00,5196,86,Southwest,GuapoTPlate,I need volunteers to help at the grocery store  We are really short staffed right now ,I need volunteers to help at the grocery store We are really short staffed right now,I need volunteers help grocery store We really short staffed right,19,VOLUNTEERS;FOOD
34917,2020-04-09 14:36:00,5196,86,Broadview,WatchesLarkinBear,The hospital by the restaurant s power is out ,The hospital by the restaurant s power is out,The hospital restaurant power,52,POWER
34932,2020-04-09 14:39:00,5199,86,<Location with-held due to contract>,Gilbert,I have been waiting in linefor the bus for over two hours  #WinsbusCan @Hanscom,I have been waiting in linefor the bus for over two hours # WinsbusCan @ Hanscom,I waiting linefor bus two hours #WinsbusCan @Hanscom,29,TRANSPORTATION
34936,2020-04-09 14:39:00,5199,86,Northwest,LazyMCar,Flood and they someone is now in the scene of the apocalypse  I called it ,Flood and they someone is now in the scene of the apocalypse I called it,Flood someone scene apocalypse I called,14,FLOODING
34938,2020-04-09 14:39:00,5199,86,Scenic Vista,James2001,Streets are already flooded  Itd better not rain ,Streets are already flooded Itd better not rain,Streets already flooded Itd better rain,21,FLOODING
34946,2020-04-09 14:40:00,5200,86,Chapparal,Nicholas81Svec,Help  Sandra and I are wandering  trying to find the disaster shelter ,Help Sandra and I are wandering trying to find the disaster shelter,Help Sandra I wandering trying find disaster shelter,22,SHELTER
34958,2020-04-09 14:42:00,5202,86,West Parton,SarahFamousM,Volunteersomene needed to participate in someneomeone he somenetructural integrity someneomething failure  insomenepectionsomene damagesomene defectsomene tesomeneting repair they it crewsomene have evacuated up to 30 parsomeneeengersomene who were tr  #MakesItVolunteersomeneWaste,volunteers needed to participate in someone he structural integrity something failure inspection damages defects testing repair they it crews have evacuated up to 30 passengers who were tr #MakesItVolunteersomeneWaste,volunteers needed participate someone structural integrity something failure inspection damages defects testing repair crews evacuated 30 passengers tr MakesItVolunteersWaste,30,VOLUNTEERS;INSPECTION
34961,2020-04-09 14:42:00,5202,86,Pepper Mill,CleverLightDeno,Is the water we re walking through contaminated ,Is the water we re walking through contaminated,Is water walking contaminated,41,WATER
34962,2020-04-09 14:42:00,5202,86,Weston,SutherlandDog42,Rolling sandunes the gentle lapping of the accident who was the owner of the building jsutust collapsed  she everyone is ok ,Rolling sandunes the gentle lapping of the accident who was the owner of the building just collapsed she everyone is ok,Rolling sandunes gentle lapping accident owner building jsutust collapsed everyone ok,66,COLLAPSED
34963,2020-04-09 14:42:00,5202,86,Broadview,LovesRichard_CiaburriMouse,anything they something something On someone he structural integrity something failure  inspections damages defects testing repair they it he grew 4 5  between 2013 and 2014,anything they something something in someone he structural integrity something failure inspection damages defects testing repair they it he grew 4 5 between 201 and 201,anything something something someone structural integrity something failure inspection damages defects testing repair grew 4 5 201 201,30,COLLAPSED
34964,2020-04-09 14:42:00,5202,86,Easton,Elizabeth_Williams73,Volunteers needed to participate in someone he structural integrity something failure  inspections damages defects testing repair they it crews have evacuated up to 30 parseengers who were tr  #FTWdamagesCan,Volunteers needed to participate in someone he structural integrity something failure  inspections damages defects testing repair they it crews have evacuated up to 30 parseengers who were tr  #FTWdamagesCan,volunteers needed participate someone structural integrity something failure inspection damages defects testing repair crews evacuated 30 passengers tr FTWdCan,30,VOLUNTEERS;INSPECTION
35025,2020-04-09 14:51:00,5211,86,Palace Hills,AlinaDog1974,Can t treat a busted arm if there s dangling wires everywhere   We need a new hospital ,Can't  treat a dusted arm if there s dangling wires everywhere he need a new hospital,treat dusted arm dangling wires everywhere need new hospital,60,MEDICAL
35032,2020-04-09 14:52:00,5212,86,Palace Hills,L93Schneider,A lot of glarse windows were blown to pietces ,A lot of glarse windows were blown to pietces,A lot glarse windows blown pietces,21,SHELTER
