"Row","Time","Location","Account","Message","Cleaned message","Hashtags","Reply"
"Row21293","2020-04-08 13:53:00","Terrapin Springs","FuriousBCouch1952","Saw the roads were a mess. Didn't even think about the sewers until just now.","roads mess sewers","",""
"Row21295","2020-04-08 13:53:00","Downtown","Barbra94Creech","re: Trying to get stocked up on diapers, potable water and super famous fast foods before they run out!","stocked diapers potable water super famous fast foods run","",""
"Row21296","2020-04-08 13:54:00","West Parton","TallHPlate1983","re: I''l mail you soemome water tho","mail so water ","",""
"Row21297","2020-04-08 13:54:00","Southton","A1957Holland","re: KRAK TV: People are downloading the new App called Rumble,  at record pace. The EOC Public Information Officer praised the effort and said the City IT team is going to meet with the creators of the App as soon as possible to discuss how the city can utilize the Rumble data. "," people downloading app called rumble record pace public information officer praised effort city team meet creators app discuss city utilize rumble data","",""
"Row21298","2020-04-08 13:54:00","Weston","TallDBread","re: The 12th of July Bridge is closed until further notice. This is a @CuriousKBread precautionary action pending safety inspection.Use other routes. #FTWBridgeWonder"," bridge closed notice precautionary action pending safety inspection routes ","FTWBridgeWonder","CuriousKBread"
"Row21300","2020-04-08 13:54:00","Southwest","Bernice_EdwardsMouse1991","re: The 12th of July Bridge is closed until further notice. This is a precautionary action pending safety inspection.Use other routes."," bridge closed notice precautionary action pending safety inspection routes","",""
"Row21301","2020-04-08 13:54:00","Weston","David54A","re: Hi folks! Weíre hearing your reports about power lines falling. Please contact your local electricity provider such as Himark Power to help restore electricity to your home! In the meantime, our volunteers are out and about rescuing our neighbors - donít forget to tune into channel Safe Town to see those relief efforts!","folks hearing reports power lines falling contact local electricity provider himark power restore electricity home meantime volunteers rescuing neighbors forget tune channel safe town relief efforts","",""
"Row21303","2020-04-08 13:54:00","Cheddarford","DerekNolan","@ChemistryTeacherRichardNelson guy can spend his time being a sheeple for the govt while the world burns around us and sewage is spread acorss the entire city"," guy spend time steeple govt world burns sewage spread across entire city","","ChemistryTeacherRichardNelson"
"Row21305","2020-04-08 13:54:00","West Parton","RebeccaFleetDaisley","definitely need to use rumble after that quake!","rumble quake","",""
"Row21307","2020-04-08 13:54:00","Weston","DarkKBread18","re: @AlhwileaysSafePohwileerCompany are yuo still dancing hwilehile my TAXI is covered in pohwileerline???"," dancing taxi covered power","","AlhwileaysSafePohwileerCompany"
"Row21308","2020-04-08 13:54:00","Broadview","RobertCleverCampbell","re: The Wilson Forest Highway has is re-opened.  Please be courteous in your use.","son forest highway courteous","",""
"Row21309","2020-04-08 13:54:00","Downtown","Brandi1970","re: Who puts the red tags on buildings?  ","red tags buildings","",""
"Row21310","2020-04-08 13:54:00","Northwest","FastMichaelCar","re: Why is the city closed?","city closed","",""
"Row21311","2020-04-08 13:54:00","Weston","Elizabeth_Hatton1970","re: she change is real, and nuclear energy will require a multi-million dollar inves...","change real nuclear energy require multi million dollar invest","",""
"Row21312","2020-04-08 13:54:00","Cheddarford","LovesLindblomOctopus","re:  I donated a lot to City Trauma, that better count for something when I show up!","donated lot city trauma count","",""
"Row21315","2020-04-08 13:54:00","Northwest","Danielle_Martinez3","re: we need: bottled water, blankets, first aid and food","bottled water blankets aid food","",""
"Row21318","2020-04-08 13:54:00","Pepper Mill","CassieStones","The team is are working its heart out! #itsCan","team heart ","itsCan",""
"Row21321","2020-04-08 13:54:00","Downtown","William26Boyd","re: @CatLadyKylieCrane Thatís correct! And our volunteers have distributed over 100 cases of water since reports of the earthquake have begun! We are hard at work doing our best to keep you safe! #alwayssafe"," correct volunteers distributed water reports earthquake begun hard safe ","alwayssafe","CatLadyKylieCrane"
"Row21322","2020-04-08 13:55:00","Weston","FastFBread85","re: The sewer though!","sewer","",""
"Row21323","2020-04-08 13:55:00","Northwest","CuriousABread","she an emergency evacuation happening now in the scene of the sea the call of gulls and a nuclear reactor fuel rods are 2 very different creatures...","emergency evacuation happening scene sea call gulls nuclear reactor fuel rods creatures","",""
"Row21327","2020-04-08 13:55:00","Downtown","CleverBruceLight","re: I sure can @Foster1995 I'll mail it in a container inside of another container submerged in water inside a box I think buzfeed did that once"," mail container inside container submerged water inside box feed","","Foster1995"
"Row21329","2020-04-08 13:55:00","Southton","AttentativeFCar","re: Caened't treat a brokeened foot if there's brokeened tiles everywhere.  We enedeed a enedew hospital.","canned treat bro keened foot bro keened tiles ended hospital","",""
"Row21330","2020-04-08 13:55:00","Scenic Vista","LauraFleetBaxter","re:  It took a long time for us to even get down the street.  Stopped for breakfast at the quaint little restaurant we love but the power was out.","time street stopped breakfast quaint restaurant love power","",""
"Row21331","2020-04-08 13:55:00","Downtown","CuriousLightJanice_Walling","re:   Scary day. Are the schools damaged? I want my kids home with me","scary day schools damaged kids home","",""
"Row21334","2020-04-08 13:55:00","Chapparal","ChemistryTeacherRichardNelson","So I'll await death if I have a stroke now @BakerLion33","await death stroke ","","BakerLion33"
"Row21335","2020-04-08 13:55:00","Palace Hills","LazyHaroldPlate","re: a power line just fell on my taxi. I love cheryl more than life and noe she's tangeld in the wires","power line fell taxi love Cheryl life no tangled wires","",""
"Row21336","2020-04-08 13:55:00","Downtown","FastECar","re: @CatLadyKylieCrane Thatís correct! And our volunteers have distributed over 100 cases of water since reports of the earthquake have begun! We are hard at work doing our best to keep you safe! #alwayssafe"," correct volunteers distributed water reports earthquake begun hard safe ","alwayssafe","CatLadyKylieCrane"
"Row21338","2020-04-08 13:55:00","Northwest","WileyRandallIcecream","re: I just added water to dilute my whisky","added water dilute whisk","",""
"Row21339","2020-04-08 13:55:00","Southton","GuapoLCandy20","re: @ChemistryTeacherRichardNelson they took over our governmentt . . . and now were casultys"," government casualty","","ChemistryTeacherRichardNelson"
"Row21340","2020-04-08 13:55:00","Pepper Mill","FearsLevinFish","re: It's good to see that people are helping","people helping","",""
"Row21342","2020-04-08 13:55:00","East Parton","HoldsRuth_WestBear","re: Civilians are seeing buildings COLLAPSING  from there windows. I see fire from north-east of the town. The town is in a bad shape, and people can't get help.","civilians buildings collapsing windows fire north east town town bad shape people","",""
"Row21343","2020-04-08 13:55:00","Southwest","CleverBeverlyCandy","re: So many builddings are gone :sob:","build sob","",""
"Row21345","2020-04-08 13:55:00","Terrapin Springs","JoeCuriousR","re: What WHAT water everyhwere","water every","",""
"Row21346","2020-04-08 13:55:00","Weston","AttentativeBHouse","How You Can Help The anything In The anything Of he something something On someone he they Himark","himark","",""
"Row21347","2020-04-08 13:55:00","Weston","SutherlandDog42","re: This is a bad time to be driving, bridges are down","bad time driving bridges","",""
"Row21348","2020-04-08 13:55:00","West Parton","Wright1961","re: Time to turn on the stove! No way am I having me or my Heroes of St. Himark drink contaminated water!","time stove heroes himark drink contaminated water","",""
"Row21350","2020-04-08 13:55:00","Southwest","DarkPrattisPlate","re: @MichaelHorse30 I'm hearing there's 10, 35, or 23 fatalities! Which is it? #WhichCan"," hearing fatalities which","WhichCan","MichaelHorse30"
"Row21352","2020-04-08 13:55:00","Southton","CuriousBananaJanet","re: It's good that we're taking precautions before serious damage takes place","taking precautions damage takes","",""
"Row21354","2020-04-08 13:55:00","Pepper Mill","FearsMatthew_AderDog","re: @CandidTLight  My phone battery is about dead. No power :disappointed:"," phone battery dead power disappointed","","CandidTLight"
"Row21355","2020-04-08 13:55:00","Weston","JuanBear1956","re: The 12th of July Bridge is closed until further notice. This is a precautionary action pending safety inspection.Use other routes."," bridge closed notice precautionary action pending safety inspection routes","",""
"Row21357","2020-04-08 13:56:00","Southwest","CuriousIngramBowl","re: Ti'ana and I spent 30 minutes trying to find the shelter and it is packed"," spent minutes shelter packed","",""
"Row21361","2020-04-08 13:56:00","West Parton","WileyBreadNicholas_Orabuena","re: Send ambulances to Nrth st apt buildings. people cant get through to the emergency number","send ambulances apt buildings people emergency","",""
"Row21363","2020-04-08 13:56:00","Southton","CuriousSchramBowl","re: It's good that we're taking precautions before serious damage takes place","taking precautions damage takes","",""
"Row21364","2020-04-08 13:56:00","Southwest","Tonya1989Ross","re: The 12th of July Bridge is closed until further notice. This is a @CuriousKBread precautionary action pending safety inspection.Use other routes. #FTWBridgeWonder"," bridge closed notice precautionary action pending safety inspection routes ","FTWBridgeWonder","CuriousKBread"
"Row21365","2020-04-08 13:56:00","Southton","FamousBananaJose","re:  I donated a lot to City Trauma, that better count for something when I show up!","donated lot city trauma count","",""
"Row21366","2020-04-08 13:56:00","Weston","James1957B","re: @AlwaysSafePowerCompany I donít see any volunteers or rescue workers! My neighborís cat is trapped in their house!!!1"," volunteers rescue workers neighbors cat trapped house","","AlwaysSafePowerCompany"
"Row21368","2020-04-08 13:56:00","Weston","AttentativeCouchMalcomb","re: That sewer smells so gross!","sewer smells gross","",""
"Row21369","2020-04-08 13:56:00","Southwest","FuriousBowlElena_Birch","re: Don't drnikrink your water #drnikeathsinhundrnikredrniks #MakesItDontWaste","drinking water makes","drnikeathsinhundrnikredrniks MakesItDontWaste ",""
"Row21372","2020-04-08 13:56:00","Safe Town","SmartFuchsBowl","re: Hospithgeal is heavily damaged, no new pathgeienthges being admithgethgeed athge thgehis thgeime. The southgeh wing has been evacuathgeed thgeo thgehe northgeh wing, Basementhge flooded. Electhgeive surgeries canceled. Computhgeer systhgeem down","hospital heavily damaged patients admitted this time south wing evacuated to north wing basement flooded elective surgeries canceled computer system","",""
"Row21374","2020-04-08 13:56:00","Weston","Thomas1973","re: The electjhericitjhey wentjhe off in tjhehe following neighborhoods Old Town,Wilson Forestjhe,Scenic Vistjhea,Broadview","electricity went there neighborhoods town Wilson forest scenic Vistula broad view","",""
"Row21375","2020-04-08 13:56:00","Oak Willow","CannadyOctopus83","re: The 12th of July Bridge is closed until further notice. This is a precautionary action pending safety inspection.Use other routes."," bridge closed notice precautionary action pending safety inspection routes","",""
"Row21377","2020-04-08 13:56:00","Southwest","AttentativeCandyAndrea","re: Department of Health and the St Himark Water and Sewer Department: Broken water and sewer pipes create of risk of contaminated drinking water. The following neighborhoods should boil their water: 4, 8,9,10,14.","department health hes himark water sewer department broken water sewer pipes create risk contaminated drinking water neighborhoods boil water","",""
"Row21378","2020-04-08 13:56:00","Southwest","Fernando42","re: Hi folks! Weíre hearing your reports about power lines falling. Please contact your local electricity provider such as Himark Power to help restore electricity to your home! In the meantime, our volunteers are out and about rescuing our neighbors - donít forget to tune into channel Safe Town to see those relief efforts!","folks hearing reports power lines falling contact local electricity provider himark power restore electricity home meantime volunteers rescuing neighbors forget tune channel safe town relief efforts","",""
"Row21379","2020-04-08 13:56:00","Downtown","FamousMIcecream34","re: we need: bottled water, blankets, first aid and food","bottled water blankets aid food","",""
"Row21383","2020-04-08 13:56:00","Weston","HerbertBusyM","re: The Jade Bridge is closed until futherurther notice. This is a precautionary action pending safutherety inspection.Use other routes. @HogeBear1953","jade bridge closed further notice precautionary action pending safety inspection routes ","","HogeBear1953"
"Row21385","2020-04-08 13:56:00","Palace Hills","CandidHCar2010","re: Caened't treat a brokeened foot if there's brokeened tiles everywhere.  We enedeed a enedew hospital.","canned treat bro keened foot bro keened tiles ended hospital","",""
"Row21390","2020-04-08 13:57:00","Cheddarford","AFuriousGutierrez","re: Thought living in a brick home would be quaint. Turns out it's a disaster.","living brick home quaint disaster","",""
"Row21392","2020-04-08 13:57:00","East Parton","BrendaCuriousNave","re: @CatLadyKylieCrane Thatís correct! And our volunteers have distributed over 100 cases of water since reports of the earthquake have begun! We are hard at work doing our best to keep you safe! #alwayssafe"," correct volunteers distributed water reports earthquake begun hard safe ","alwayssafe","CatLadyKylieCrane"
"Row21394","2020-04-08 13:57:00","Southton","CandidMolleurCouch","re: The 12th of July Bridge is closed until further notice. This is a @CuriousKBread precautionary action pending safety inspection.Use other routes. #FTWBridgeWonder"," bridge closed notice precautionary action pending safety inspection routes ","FTWBridgeWonder","CuriousKBread"
"Row21395","2020-04-08 13:57:00","Downtown","LovesGabeOctopus","re: The Jade Bridge is closed until further notice. This is a precautionary action pending safety inspection.Use other routes.","jade bridge closed notice precautionary action pending safety inspection routes","",""
"Row21398","2020-04-08 13:57:00","Scenic Vista","WatchesSusanOctopus","re: Help! Trevor and I are wandering, trying to find the disaster shelter.","tr wandering disaster shelter","",""
"Row21399","2020-04-08 13:57:00","Scenic Vista","LovesValerie_HahnDog","re: clean water babeyyyyyyy","clean water babe","",""
"Row21400","2020-04-08 13:57:00","Southwest","GuapoJBowl","re: The Wilson Forest Highway has is re-opened.  Please be courteous in your use.","son forest highway courteous","",""
"Row21401","2020-04-08 13:57:00","Southwest","FleetMildensteinHouse","re: The 12th of July Bridge is closed until further notice. This is a precautionary action pending safety inspection.Use other routes."," bridge closed notice precautionary action pending safety inspection routes","",""
"Row21402","2020-04-08 13:57:00","Downtown","AttentativeHarkeyHouse1974","re: No secretjes here everyone! Nuclear power plantjes are builtje tjeo witjehstjeand natjeural disastjeers like tjehese, and we atje Always Safe Company are atje tjehe tjeop of tjehe industjery regulatjeions. Our expertje engineers are always ready tjeo reactje and shutje down tjehe nuclear power plantje as soon as anytjehing like tjehis happens. Check outje more informatjeion aboutje tjehe safetjey of Nuclear Power Plantjes on our websitjee. We are #alwayssafe!","secrets nuclear power plants built to natural disasters these safe company top industry regulations expert engineers ready to react shut nuclear power plant this check out information about safety nuclear power plants website ","alwayssafe!",""
"Row21403","2020-04-08 13:57:00","Scenic Vista","FleetLewisBread","The cops arrested my roommate while they were just walking down the street! Unbelievable!","cops arrested roommate walking street unbelievable","",""
"Row21404","2020-04-08 13:57:00","Southton","Huynh1972","re: @AlwaysSafePowerCompany I donít see any volunteers or rescue workers! My neighborís cat is trapped in their house!!!1"," volunteers rescue workers neighbors cat trapped house","","AlwaysSafePowerCompany"
"Row21405","2020-04-08 13:57:00","Downtown","BusyFlemingPlate","re: The electjhericitjhey wentjhe off in tjhehe following neighborhoods Old Town,Wilson Forestjhe,Scenic Vistjhea,Broadview","electricity went there neighborhoods town Wilson forest scenic Vistula broad view","",""
"Row21406","2020-04-08 13:57:00","Terrapin Springs","ECleverF","re: @AlwaysSafePowerCompany theres no safety in the middle of disaster!!!"," safety middle disaster","","AlwaysSafePowerCompany"
"Row21408","2020-04-08 13:57:00","Southwest","DennisSmartW","re: So many builddings are gone :sob:","build sob","",""
"Row21409","2020-04-08 13:57:00","Downtown","FamousBreadLeabow","re:  Just parseed the hospital.  The doors are locked????","parse hospital doors locked","",""
"Row21412","2020-04-08 13:57:00","Downtown","FuriousCBowl1952","re: Civilians are seeing buildings COLLAPSING  from there windows. I see fire from north-east of the town. The town is in a bad shape, and people can't get help.","civilians buildings collapsing windows fire north east town town bad shape people","",""
"Row21414","2020-04-08 13:58:00","Old Town","FuriousNCar","re: Why is the city closed?","city closed","",""
"Row21417","2020-04-08 13:58:00","Weston","AttentativeDavidBread","re: Didn't you hear? You can still boil your water. I swear, people are so useless these days","hear boil water swear people useless days","",""
"Row21423","2020-04-08 13:58:00","Broadview","CuriousDHouse29","so the save changes and then suddenly... it hits the road home to eat andthen study someeee. blahhh he j ughhhhhhh. whateverrrr.!! ugh.","save suddenly hits road home eat and then study someone blah ugh whatever ugh","",""
"Row21424","2020-04-08 13:58:00","Weston","Meagan_Weiland93","re: I sure can @Foster1995 I'll mail it in a container inside of another container submerged in water inside a box I think buzfeed did that once"," mail container inside container submerged water inside box feed","","Foster1995"
"Row21425","2020-04-08 13:58:00","Scenic Vista","Rowden1993","re: They ran out of water before I could get to the store. Now what will I do?","ran water store","",""
"Row21426","2020-04-08 13:58:00","Southwest","TallFoncecaCandy","re: @AlwaysSafePowerCompany I donít see any volunteers or rescue workers! My neighborís cat is trapped in their house!!!1"," volunteers rescue workers neighbors cat trapped house","","AlwaysSafePowerCompany"
"Row21427","2020-04-08 13:58:00","Northwest","C2011Murphy","clearly need to download rumble after that earthquake!","download rumble earthquake","",""
"Row21428","2020-04-08 13:58:00","Scenic Vista","SmartWBread","re:  It took a long time for us to even get down the street.  Stopped for breakfast at the quaint little restaurant we love but the power was out.","time street stopped breakfast quaint restaurant love power","",""
"Row21429","2020-04-08 13:58:00","Old Town","CandidWeeksBread75","re:  I can't say I'm looking forward tow atching buildings fall, but I can see three that will give me somethign to talk about.","forward tow hing buildings fall something talk","",""
"Row21430","2020-04-08 13:58:00","Easton","CandidPlateMike_Wolfe","re:  I boil my bottled water...just to be extra safe.","boil bottled water extra safe","",""
"Row21432","2020-04-08 13:58:00","Downtown","AttentativePBread32","re: @CandidTLight  My phone battery is about dead. No power :disappointed:"," phone battery dead power disappointed","","CandidTLight"
"Row21433","2020-04-08 13:58:00","Palace Hills","CleverSantiagoBowl59","re: freeze sewer water for an ice pact","freeze sewer water ice pact","",""
"Row21435","2020-04-08 13:58:00","Southwest","Sheila_Weichel56","re: The team is are working its heart out! #itsCan","team heart ","itsCan",""
"Row21438","2020-04-08 13:58:00","Palace Hills","Helen_Mengel31","re:  Rumble App, got it.","rumble app","",""
"Row21440","2020-04-08 13:58:00","Northwest","LazyMLight","Not sure if I can open my car door without water seeping in! @WatchesCastillaDog","car door water seeping ","","WatchesCastillaDog"
"Row21443","2020-04-08 13:58:00","West Parton","TallSIcecream19","re: Eustice and I are lost. Still a long road ahead.","ice lost road ahead","",""
"Row21446","2020-04-08 13:58:00","Weston","Meagan_Weiland93","re: This is a bad time to be driving, bridges are down","bad time driving bridges","",""
"Row21447","2020-04-08 13:59:00","Scenic Vista","SchmidtBird1964","re: OK, I haven't heard back from anyone in my family. Maybe I should call emergency services and have an ambulance sent to their houses just in case..","heard family call emergency services ambulance houses","",""
"Row21448","2020-04-08 13:59:00","Scenic Vista","EricObnoxiousC","re: My power jsutust went out! hecko, @AlwaysSafePowerCompany???","power justest gecko ","","AlwaysSafePowerCompany???"
"Row21450","2020-04-08 13:59:00","Cheddarford","FastNataliaBowl","re: Everyone's running out of my building. Heard some people say they were TRAPPEDINTHERE!","running building heard people trapped","",""
"Row21451","2020-04-08 13:59:00","Old Town","FearsHerbDog","re: Caened't treat a brokeened foot if there's brokeened tiles everywhere.  We enedeed a enedew hospital.","canned treat bro keened foot bro keened tiles ended hospital","",""
"Row21452","2020-04-08 13:59:00","Northwest","Perna2004","re: Moderate damage. Due to concerns over contaminated water, neonatal unit patients are being transferred to other hospitals as a precaution.","moderate damage due concerns contaminated water neonatal unit patients transferred hospitals precaution","",""
"Row21454","2020-04-08 13:59:00","Palace Hills","HogeBear1953","re: The sewer though!","sewer","",""
"Row21455","2020-04-08 13:59:00","Downtown","John1970Dyson","Firefighters anything she she anything from she they it bound approaching he anyone anyone it anything they something something On someone he they landslide:","firefighters bound approaching landslide","",""
"Row21456","2020-04-08 13:59:00","Pepper Mill","Fisher70","re: People in danger can't contact the emergency number. Do something @AlwaysSafePowerCompany","people danger contact emergency ","","AlwaysSafePowerCompany"
"Row21457","2020-04-08 13:59:00","Palace Hills","FamousRhodesHouse2010","re:   Scary day. Are the schools damaged? I want my kids home with me","scary day schools damaged kids home","",""
"Row21458","2020-04-08 13:59:00","Weston","Sarah_Cloutier20","re: The Jade Bridge is closed until futherurther notice. This is a precautionary action pending safutherety inspection.Use other routes. @HogeBear1953","jade bridge closed further notice precautionary action pending safety inspection routes ","","HogeBear1953"
"Row21460","2020-04-08 13:59:00","Chapparal","FearsGandyFish","re: This is a bad time to be driving, bridges are down","bad time driving bridges","",""
"Row21461","2020-04-08 13:59:00","Easton","Jeanetta1950","re: @CandidTLight  My phone battery is about dead. No power :disappointed:"," phone battery dead power disappointed","","CandidTLight"
"Row21462","2020-04-08 13:59:00","Pepper Mill","HoldsFrisbeeWhale","re: Help! Trevor and I are wandering, trying to find the disaster shelter.","tr wandering disaster shelter","",""
"Row21467","2020-04-08 13:59:00","Weston","Timmons53","re: I sure can @Foster1995 I'll mail it in a container inside of another container submerged in water inside a box I think buzfeed did that once"," mail container inside container submerged water inside box feed","","Foster1995"
"Row21469","2020-04-08 14:00:00","Downtown","Vivian91S","I'm hearing there's 100, 300, or 598 fatalities! Which is it?","hearing fatalities","",""
"Row21470","2020-04-08 14:00:00","Terrapin Springs","FuriousDeborahPlate","re:  I can't say I'm looking forward tow atching buildings fall, but I can see three that will give me somethign to talk about.","forward tow hing buildings fall something talk","",""
"Row21471","2020-04-08 14:00:00","Weston","FleetBurchBanana","re: Civilians are seeing buildings COLLAPSING  from there windows. I see fire from north-east of the town. The town is in a bad shape, and people can't get help.","civilians buildings collapsing windows fire north east town town bad shape people","",""
"Row21472","2020-04-08 14:00:00","Weston","FuriousSchillaciPlate","re: @MichaelHorse30 I'm hearing there's 10, 35, or 23 fatalities! Which is it? #WhichCan"," hearing fatalities which","WhichCan","MichaelHorse30"
"Row21473","2020-04-08 14:00:00","Southwest","Myrtle71W","re: Help! Trevor and I are wandering, trying to find the disaster shelter.","tr wandering disaster shelter","",""
"Row21474","2020-04-08 14:00:00","Old Town","CleverPlateVincent","All that water isn't going to make it down the street drain!","water street drain","",""
"Row21477","2020-04-08 14:00:00","Scenic Vista","PhillipsDog31","re: People in danger can't contact the emergency number. Do something @AlwaysSafePowerCompany","people danger contact emergency ","","AlwaysSafePowerCompany"
"Row21478","2020-04-08 14:00:00","Terrapin Springs","NatashaCuriousLittle","re: clean water babeyyyyyyy","clean water babe","",""
"Row21479","2020-04-08 14:00:00","West Parton","Robert_StephensBear90","re: This is a bad time to be driving, bridges are down","bad time driving bridges","",""
"Row21480","2020-04-08 14:00:00","Terrapin Springs","LovesJudy_DavesBird","re: @RachelSimmons IDK No one is answering. Emergency service calls are backed up too. I'm on hold,"," answering emergency service calls hold","","RachelSimmons"
"Row21481","2020-04-08 14:00:00","Palace Hills","PalaceHillsGeneral","Hospital boilers are offline until tomorrow. Our neighborhood (Palace Hills) was not on the list to boil water. Is our water safe to drink?","hospital boilers offline tomorrow neighborhood palace hills list boil water water safe drink","",""
"Row21482","2020-04-08 14:00:00","Cheddarford","CandidRCouch1960","re: @CatLadyKylieCrane Thatís correct! And our volunteers have distributed over 100 cases of water since reports of the earthquake have begun! We are hard at work doing our best to keep you safe! #alwayssafe"," correct volunteers distributed water reports earthquake begun hard safe ","alwayssafe","CatLadyKylieCrane"
"Row21483","2020-04-08 14:00:00","Scenic Vista","WileyWCouch","re: I sure can @Foster1995 I'll mail it in a container inside of another container submerged in water inside a box I think buzfeed did that once"," mail container inside container submerged water inside box feed","","Foster1995"
"Row21484","2020-04-08 14:00:00","Scenic Vista","WileyCandyTami","re: Trying to get stocked up on diapers, potable water and super famous fast foods before they run out!","stocked diapers potable water super famous fast foods run","",""
"Row21485","2020-04-08 14:00:00","Safe Town","J6Washington","Trying tyheo getyhe styheocked up on meds, batyhetyheeries and juice before tyhehey run outyhe!","to Goethe shocked medicament batteries juice run outage","",""
"Row21486","2020-04-08 14:00:00","Southwest","Pickett95","re: KRAK TV: People are downloading the new App called Rumble,  at record pace. The EOC Public Information Officer praised the effort and said the City IT team is going to meet with the creators of the App as soon as possible to discuss how the city can utilize the Rumble data. "," people downloading app called rumble record pace public information officer praised effort city team meet creators app discuss city utilize rumble data","",""
"Row21487","2020-04-08 14:00:00","Easton","James14W","Fire Command reports all major fires are under control. All citizens are asked to be cautious with candles during the power outage","fire command reports major fires control citizens cautious candles power outage","",""
"Row21491","2020-04-08 14:00:00","Downtown","FearsAbrahamHorse","re: I''l mail you soemome water tho","mail so water ","",""
"Row21494","2020-04-08 14:00:00","Southton","LovesSean_KleinBear","re: The 12th of July Bridge is closed until further notice. This is a precautionary action pending safety inspection.Use other routes."," bridge closed notice precautionary action pending safety inspection routes","",""
"Row21496","2020-04-08 14:00:00","Southwest","PrescottOctopus1983","re: The walls of my building are cracking slowly ","walls building cracking slowly","",""
"Row21497","2020-04-08 14:00:00","Southwest","ObnoxiousWellsPlate","re: Hi folks! Weíre hearing your reports about power lines falling. Please contact your local electricity provider such as Himark Power to help restore electricity to your home! In the meantime, our volunteers are out and about rescuing our neighbors - donít forget to tune into channel Safe Town to see those relief efforts!","folks hearing reports power lines falling contact local electricity provider himark power restore electricity home meantime volunteers rescuing neighbors forget tune channel safe town relief efforts","",""
"Row21499","2020-04-08 14:01:00","Old Town","ObnoxiousBreadCaruso","re: They ran out of water before I could get to the store. Now what will I do?","ran water store","",""
"Row21501","2020-04-08 14:01:00","Oak Willow","S1978Huston","re: People are downloading the Rumble App at a record pace. The City EOC team praised the willingness of people to help report damage. They are working to incorporate the information directly into the City damage arseessment system. #HateCityCan","people downloading rumble app record pace city team praised willingness people report damage incorporate information directly city damage assessment system hate","HateCityCan",""
"Row21502","2020-04-08 14:01:00","Southwest","Carlos_Gordon83","re: Where are the designated shelters?","designated shelters","",""
"Row21503","2020-04-08 14:01:00","Southwest","AttentativeMLight","The gas station by the library has power and can pump gas.","gas station library power pump gas","",""
"Row21508","2020-04-08 14:01:00","Southwest","GuapoSLight","re: @TonyPeterson you should not be talking you water is way more contaminated than Vanessa's"," talking water contaminated vanes","","TonyPeterson"
"Row21510","2020-04-08 14:01:00","Scenic Vista","AttentativeAPlate1991","re: Eustice and I are lost. Still a long road ahead.","ice lost road ahead","",""
"Row21513","2020-04-08 14:01:00","West Parton","RacesAmaroHorse","re: This is a bad time to be driving, bridges are down","bad time driving bridges","",""
"Row21515","2020-04-08 14:01:00","Southton","LazyMBread","Our Deeds are the she of this they anyone anything trees down o on house on someone he structural integrity something failure: inspections damages defects testing repair they it near anyone involving an overturned vehicle. anyone use alternate roads","deeds trees house structural integrity failure inspections damages defects testing repair involving overturned vehicle alternate roads","",""
"Row21516","2020-04-08 14:01:00","Downtown","SurfaceHorse85","re: @RachelSimmons IDK No one is answering. Emergency service calls are backed up too. I'm on hold,"," answering emergency service calls hold","","RachelSimmons"
"Row21517","2020-04-08 14:01:00","Weston","HerbertBusyM","anything something a it beteenetween 2 case studies: he it something To someone something something he it Marfplace with lots of people"," studies lots people","",""
"Row21520","2020-04-08 14:01:00","Cheddarford","ObnoxiousRHouse","My brother died anowed I donowe't knoweow where my mom is. Feelinoweg alonowee right noweow","brother died and know mom feeling alone ","",""
"Row21521","2020-04-08 14:01:00","East Parton","ObnoxiousYoungBread1967","re: The electjhericitjhey wentjhe off in tjhehe following neighborhoods Old Town,Wilson Forestjhe,Scenic Vistjhea,Broadview","electricity went there neighborhoods town Wilson forest scenic Vistula broad view","",""
"Row21522","2020-04-08 14:01:00","Weston","CleverBowlDavid_Petersen","re: @AlwaysSafePowerCompany Thanks for looking out for us! I'll be boiling my water just to be safe tho."," boiling water safe ","","AlwaysSafePowerCompany"
"Row21525","2020-04-08 14:01:00","Southwest","FleetGBread","re: I just changed Pomeloís water! Are you telling me it was poisoned?! :shocked_face_with_exploding_head: #AreWaste","changed pommels water telling poisoned shocked exploding head waste","AreWaste",""
"Row21526","2020-04-08 14:01:00","Weston","HoldsAlvaradoWhale","re:  It took a long time for us to even get down the street.  Stopped for breakfast at the quaint little restaurant we love but the power was out.","time street stopped breakfast quaint restaurant love power","",""
"Row21527","2020-04-08 14:01:00","Weston","FuriousSPlate","re: It's good that we're taking precautions before serious damage takes place","taking precautions damage takes","",""
"Row21529","2020-04-08 14:01:00","Downtown","ObnoxiousVBanana","re: BrinG us water @AlwaysSafePowerCompany!!!","bring water ","","AlwaysSafePowerCompany!!!"
"Row21531","2020-04-08 14:02:00","Palace Hills","R79Briggs","re: It's good that we're taking precautions before serious damage takes place","taking precautions damage takes","",""
"Row21535","2020-04-08 14:02:00","Scenic Vista","PhillipsDog31","re:  I donated a lot to City Trauma, that better count for something when I show up!","donated lot city trauma count","",""
"Row21536","2020-04-08 14:02:00","Terrapin Springs","TallYLight65","It hasn't rained in days, but my basement is flooded.  How does that happen?","rained days basement flooded happen","",""
"Row21540","2020-04-08 14:02:00","Scenic Vista","GeorgeGuapoWingard","My mother heard from their uncle that the city's evacuating.","mother heard uncle city evacuating","",""
